"country","group","conflicts","split","spillover","region","pop","area","lake","river","capital","borderdist","capdist","seadist","coastal","meanelev","agriculture","diamond","malaria","petroleum","island","city1400"
"MAR","ALGERIANS",4,0,0.333333343267441,"north",215507.962259039,4.39872732675189,0,0,0,36.5271835327148,0.428078263998032,0.0456097535789013,1,0.666301548480988,0.419200003147125,0,0.00107826665043831,0,0,0
"MAR","ATTA",0,1,0,"north",99210.3133824655,21.0651358143495,0,0,0,69.8878784179688,0.374160826206207,0.340855121612549,0,1.16741836071014,0.184117645025253,0,0,0,0,0
"MAR","BERABER",7,0,0.222222223877907,"north",1349096.1554148,59.5000738853433,0,1,0,201.574111938477,0.205120429396629,0.208295822143555,0,1.1878764629364,0.675997376441956,0,0.000910545466467738,1,0,0
"MAR","DRAWA",0,0,0.5,"north",145947.977113448,14.2384630743367,0,0,0,99.2070617675781,0.374022424221039,0.316941916942596,0,1.33591878414154,0.191923081874847,0,0.000192499996046536,0,0,0
"MAR","DUI-MENIA",0,0,0,"north",6453.18657511449,4.22435350240403,0,0,0,11.9676275253296,0.405521631240845,0.332407861948013,0,0.994552075862885,0.0511250011622906,0,0,0,0,0
"MAR","FIGIG",0,0,0.5,"north",9271.98042256339,0.418860586103871,0,0,0,2.08545994758606,0.558274149894714,0.282281786203384,0,1.29790282249451,0.0199999995529652,0,0,0,0,0
"MAR","FILALA",0,0,0.333333343267441,"north",156202.4312199,16.3112857019385,0,0,0,71.1575469970703,0.361932426691055,0.356278032064438,0,1.11411309242249,0.155785709619522,0,0,0,0,0
"MAR","GIL",0,1,0.16666667163372,"north",69278.6559819512,32.20900048388,0,0,0,72.6732559204102,0.432153075933456,0.197510808706284,0,1.23604345321655,0.138130441308022,0,0,0,0,0
"MAR","HAMYAN",0,0,0.666666686534882,"north",1882.51743098057,0.236389180430521,0,0,0,12.31884765625,0.49891659617424,0.164041966199875,0,1.2277684211731,0.126666665077209,0,0,0,0,0
"MAR","IMRAGEN",9,1,1,"north",1344.5036282006,4.52649655849536,0,0,0,22.452974319458,0.861838221549988,0.0117250056937337,1,0.114277772605419,0.00750000029802322,0,0.00115519994869828,0,0,0
"MAR","JEBALA",8,0,0,"north",1109320.38240891,16.7243530059935,0,1,0,323.43212890625,0.170071005821228,0.0589732863008976,1,0.415630340576172,0.903123080730438,0,0.00128077552653849,1,0,1
"MAR","MOROCCANS",291,0,0,"north",5606067.47242727,70.8651591163616,0,1,1,316.334381103516,0.158086717128754,0.0823166444897652,1,0.51609218120575,0.644256830215454,0,0.00156232004519552,1,0,1
"MAR","RIF",31,0,0,"north",901311.339462998,20.239889444101,0,1,0,160.606582641602,0.299041360616684,0.0414383821189404,1,0.488387137651443,0.691612482070923,0,0.00124444207176566,0,0,1
"MAR","SHLUH",2,0,0.400000005960464,"north",1101946.88982359,63.9189973483499,0,1,0,121.781562805176,0.430971831083298,0.135847985744476,1,0.987805545330048,0.196963414549828,0,0.00127795746084303,1,0,1
"MAR","TAJAKANT",0,1,0.333333343267441,"north",9750.04444553154,15.971438303796,0,0,0,12.5738773345947,0.576844334602356,0.204554244875908,0,0.556254863739014,0.0155294118449092,0,0.00571577623486519,0,0,0
"MAR","TEKNA",15,1,0.666666686534882,"north",161817.672503419,36.9749339045362,0,0,0,75.5426406860352,0.708030104637146,0.0662111565470695,1,0.333615064620972,0.0197142846882343,0,0.00320221018046141,0,0,0
