"id","period","session","firm","firmx","order","gender","manager","student","retir","senior","seniord","workingsenior","workingjunior","information","nbseniors","homogend","homodgenck","contribution","pot","potlag","potimean","potimeanlag","payoffpggame","desirnbseniors","invest","payoffriskgame","letters","idicompet","seniordopponent","seniori","option","option0","twoperstour","beliefself","beliefseniors","beliefjuniors","beliefsmatchs","beliefjmatchj","relatabil","performance","perfi","payoffcompetitiongame","expesenck","potlagsenior","heterogend"
1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,10,40,NA,15,NA,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,NA,1
1,2,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,14,44,40,15,15,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,15,1
1,3,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,12,47,44,17.5,15,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,15,1
1,4,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,16,46,47,15,17.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,17.5,1
1,5,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,15,46,46,15.5,15,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,15,1
1,6,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,7,17,46,5,15.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,15.5,1
1,7,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,15,45,17,15,5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,5,1
1,8,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,19,29,45,5,15,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,15,1
1,9,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,12,34,29,11,5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,5,0
1,10,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,15,40,34,12.5,11,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,11,0
1,11,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,10,36,40,13,12.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,12.5,0
1,12,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,5,9,36,2,13,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,13,0
1,13,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,15,36,9,10.5,2,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,2,0
1,14,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,16,17,36,0.5,10.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,10.5,0
1,15,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,14,19,17,2.5,0.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,0.5,0
1,16,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,14,14,19,0,2.5,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,NA,2.5,0
1,17,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,15,37,14,11,0,390,1,NA,NA,0,2,0,0,1,0,0,5,7,10,NA,10,0,5,5,150,2,0,1
2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,40,NA,15,NA,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,NA,1
2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,44,40,17,15,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,3,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,15,47,44,16,17,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,4,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,46,47,18,16,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,5,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,11,46,46,17.5,18,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,6,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,17,46,3.5,17.5,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,7,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,45,17,17.5,3.5,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,8,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,10,29,45,9.5,17.5,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,1
2,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,10,26,29,8,9.5,418,2,NA,NA,0,1,1,1,0,1,NA,4,6,3,6,NA,0,5,5,90,NA,0,0
