"id","year","lgdp","lsrate","lpopg"
1,1960,7.43897151947021,NA,NA
1,1965,7.33040523529053,-1.74525761604309,-2.66212129592896
1,1970,7.51370906829834,-1.96382975578308,-2.54465675354004
1,1975,7.74543571472168,-1.42995369434357,-2.51825666427612
1,1980,7.9294867515564,-1.14752948284149,-2.51825666427612
1,1985,7.98989915847778,-1.22397148609161,-2.52198576927185
3,1960,7.01929664611816,NA,NA
3,1965,7.09423494338989,-3.67300605773926,-2.57965707778931
3,1970,7.03702783584595,-3.60380339622498,-2.57570695877075
3,1975,6.96224355697632,-3.42099189758301,-2.57439374923706
3,1980,7.01301574707031,-3.02207612991333,-2.56655073165894
3,1985,6.97260618209839,-2.57833862304688,-2.51454138755798
4,1960,6.28413438796997,NA,NA
4,1965,6.35610771179199,-2.4448401927948,-2.57177257537842
4,1970,6.76503896713257,-1.91895663738251,-2.58229899406433
4,1975,7.20785999298096,-0.948194265365601,-2.42928266525269
4,1980,7.53849506378174,-1.23780536651611,-2.46040916442871
4,1985,7.71957397460938,-1.34730446338654,-2.47218799591064
7,1960,6.54678535461426,NA,NA
7,1965,6.59167385101318,-3.08960342407227,-2.6926691532135
7,1970,6.76388502120972,-2.85180521011353,-2.62970113754272
7,1975,6.83410882949829,-2.59133434295654,-2.56655073165894
7,1980,7.15305185317993,-2.37107801437378,-2.50960922241211
7,1985,7.26682758331299,-2.10652494430542,-2.50592613220215
9,1960,6.48920488357544,NA,NA
9,1965,6.4329400062561,-2.24261951446533,-2.72417950630188
9,1970,6.54391193389893,-2.18907785415649,-2.71961688995361
9,1975,6.50428819656372,-2.39010572433472,-2.71961688995361
9,1980,6.4952654838562,-3.04492259025574,-2.61183142662048
9,1985,6.39024066925049,-2.90114974975586,-2.59829926490784
12,1960,6.96885061264038,NA,NA
12,1965,6.93828439712524,-1.83771967887878,-2.61729574203491
12,1970,7.3658127784729,-1.91759479045868,-2.59026718139648
12,1975,7.40245151519775,-2.16195392608643,-2.5770218372345
12,1980,7.51152467727661,-2.23679733276367,-2.51577830314636
12,1985,7.83991956710815,-1.98850452899933,-2.49981737136841
