"mouza","year","district","rplacul","rpdrhh","rblacul","rbgdrrghh","election","preelect","edwalfco","erlesscu","ermgcu","ersmcu","ermdcu","ercusmol","ercubgol","erillnb","erlow","ratleft0","dwalfco","inflat","smfempyv","incseats","lfseats","inflflag","inclflag","lflflag","ratleft","infiw","infumme","infal","gp"
1,1974,1,0,0,0,0,0,0,0.294235110282898,0.240250989794731,0.439525455236435,0.496272832155228,0.147839441895485,0.826218724250793,0.0150973154231906,0.491434276103973,0.34161588549614,0,0.290470212697983,0.0348399989306927,-0.0375916883349419,0.680000007152557,0.0482625477015972,NA,NA,NA,0.965517222881317,0.206572845578194,0.150417760014534,0.213720262050629,1
1,1975,1,0,0,0,0,0,0,0.295490056276321,0.248442649841309,0.438335806131363,0.445485204458237,0.132679998874664,0.809349894523621,0.0160327032208443,0.485355198383331,0.341729491949081,0,0.290470212697983,0.0348399989306927,-0.0375916883349419,0.680000007152557,0.0482625477015972,NA,NA,NA,0.965517222881317,0.206572845578194,0.150417760014534,0.213720262050629,1
1,1976,1,0,0,0,0,0,0,0.296745032072067,0.256913602352142,0.437149405479431,0.399895071983337,0.119075000286102,0.793938040733337,0.0170260444283485,0.479351341724396,0.341843098402023,0,0.290470212697983,0.0348399989306927,-0.0375916883349419,0.680000007152557,0.0482625477015972,NA,NA,NA,0.965517222881317,0.206572845578194,0.150417760014534,0.213720262050629,1
1,1977,1,0,0,0,0,0,1,0.297999978065491,0.265673369169235,0.435966223478317,0.358970552682877,0.106865055859089,0.779958605766296,0.0180809311568737,0.473421722650528,0.341956794261932,0,0.290470212697983,0.0348399989306927,-0.0375916883349419,0.680000007152557,0.0482625477015972,NA,NA,NA,0.965517222881317,0.206572845578194,0.150417760014534,0.213720262050629,1
1,1978,1,0,0,0.0282160211354494,0.108906038105488,1,0,0.271860003471375,0.27473184466362,0.434786230325699,0.322234183549881,0.0959071144461632,0.767389476299286,0.0192011743783951,0.467565476894379,0.342070490121841,0,0.290470212697983,0.0348399989306927,-0.0375916883349419,0.680000007152557,0.0482625477015972,NA,NA,NA,0.965517222881317,0.206572845578194,0.150417760014534,0.213720262050629,1
1,1979,1,0,0,0,0,0,0,0.245719999074936,0.284099161624908,0.433609426021576,0.289257347583771,0.0860728025436401,0.756211161613464,0.0203908290714025,0.461781680583954,0.342184245586395,0.777777791023254,0.297999978065491,0.0343800000846386,2.62794494628906,0.284000009298325,0.0405904054641724,0,0,0,0.777777791023254,0.0209895297884941,0.0343580767512321,-0.0212013609707355,1
1,1980,1,0,0,0.0405069477856159,0.0372850932180882,0,0,0.219579994678497,0.293785870075226,0.432435810565948,0.259655296802521,0.0772469043731689,0.746406614780426,0.0216541867703199,0.45606940984726,0.342298030853271,0.777777791023254,0.297999978065491,0.0343800000846386,2.62794494628906,0.284000009298325,0.0405904054641724,0,0,0,0.777777791023254,0.0209895297884941,0.0343580767512321,-0.0212013609707355,1
1,1981,1,0,0,0,0,0,0,0.193439990282059,0.303802847862244,0.431265383958817,0.23308265209198,0.0693260133266449,0.73796147108078,0.0229958202689886,0.450427800416946,0.34241184592247,0.777777791023254,0.297999978065491,0.0343800000846386,2.62794494628906,0.284000009298325,0.0405904054641724,0,0,0,0.777777791023254,0.0209895297884941,0.0343580767512321,-0.0212013609707355,1
1,1982,1,0,0,0,0,0,1,0.167300000786781,0.314161390066147,0.430098116397858,0.209229409694672,0.0622173249721527,0.730863690376282,0.0244205761700869,0.444855988025665,0.342525690793991,0.777777791023254,0.297999978065491,0.0343800000846386,2.62794494628906,0.284000009298325,0.0405904054641724,0,0,0,0.777777791023254,0.0209895297884941,0.0343580767512321,-0.0212013609707355,1
1,1983,1,0,0,0,0,1,0,0.151879996061325,0.324873089790344,0.428934007883072,0.187817260622978,0.0558375641703606,0.725103735923767,0.0259336084127426,0.439353108406067,0.342639595270157,0.777777791023254,0.297999978065491,0.0343800000846386,2.62794494628906,0.284000009298325,0.0405904054641724,0,0,0,0.777777791023254,0.0209895297884941,0.0343580767512321,-0.0212013609707355,1
