"state","time","diffusion","trend","regulation"
1,1977,0.137090325768038,1,1
1,1978,0.282886169216036,2,1
1,1979,0.382984411800153,3,1
1,1980,0.48525677506627,4,1
1,1981,0.537482050724612,5,1
1,1982,0.589708387655028,6,1
1,1983,0.60493961105736,7,1
1,1984,0.654988516175531,8,1
1,1985,0.702861186827701,9,1
1,1986,0.824720109935379,10,1
1,1987,0.876944690646094,11,1
1,1988,0.937873939941431,12,1
1,1989,0.987922976827368,13,1
1,1990,0.990099008077756,14,1
2,1977,0.247524289706637,1,1
2,1978,0.556929558875386,2,1
2,1979,0.556929558875386,3,1
2,1980,0.556929558875386,4,1
2,1981,0.556929558875386,5,1
2,1982,0.556929558875386,6,1
2,1983,0.556929558875386,7,1
2,1984,0.556929558875386,8,1
2,1985,0.556929558875386,9,1
2,1986,0.74257395625379,10,1
2,1987,0.74257395625379,11,1
2,1988,0.74257395625379,12,1
2,1989,0.928217808723866,13,1
2,1990,0.990099008077756,14,1
3,1977,0.1802787617191,1,1
3,1978,0.214616402076733,2,1
3,1979,0.260402039394556,3,1
3,1980,0.323356306710601,4,1
3,1981,0.363417896427814,5,1
3,1982,0.47787944897349,6,1
3,1983,0.520802983803374,7,1
3,1984,0.57517328396275,8,1
3,1985,0.629543750797776,9,0
3,1986,0.678188652229481,10,0
3,1987,0.77548219337074,11,0
3,1988,0.849882527576808,12,0
3,1989,0.901390414208589,13,0
3,1990,0.990099008077756,14,0
4,1977,0.172190732824742,1,1
4,1978,0.195149596500558,2,1
4,1979,0.246807901283138,3,1
4,1980,0.327164008965926,4,1
4,1981,0.318552915838078,5,1
4,1982,0.396040658812843,6,1
4,1983,0.40177853484299,7,1
4,1984,0.421867938393233,8,1
4,1985,0.490743557694757,9,1
4,1986,0.507964326322573,10,0
4,1987,0.553882450543069,11,0
4,1988,0.774860010999704,12,0
4,1989,0.846606566143169,13,0
4,1990,0.990099008077756,14,0
5,1977,0.358343750670761,1,1
5,1978,0.414590576757635,2,1
5,1979,0.464504808549086,3,1
5,1980,0.485736371158513,4,1
5,1981,0.545709519431551,5,1
5,1982,0.614621342970321,6,1
5,1983,0.665653191864934,7,1
5,1984,0.687257742488988,8,1
5,1985,0.716313872869162,9,1
5,1986,0.802359969714856,10,1
5,1987,0.855627703480641,11,0
5,1988,0.934224540261311,12,0
5,1989,0.946144460670164,13,0
5,1990,0.990099008077756,14,0
6,1977,0.389310837829424,1,1
6,1978,0.432568338465068,2,1
6,1979,0.605594248654686,3,1
6,1980,0.70171961876743,4,1
6,1981,0.74497707442705,5,1
6,1982,0.773815073782516,6,1
6,1983,0.778621303117827,7,1
6,1984,0.749783883641534,8,1
6,1985,0.754589208496066,9,1
6,1986,0.773815073782516,10,1
6,1987,0.73536393814127,11,0
6,1988,0.884360787210228,12,0
6,1989,0.90839221641219,13,0
6,1990,0.990099008077756,14,0
7,1977,0.631521587997093,1,1
