"state","year","late","dayslate","unempdiff","splitbranch","splitleg","elecyear","endbalance","demgov","lameduck","govexp","newgov","pop","kids","elderly","nocarry","supmaj","fulltimeleg","shutdown","black","graduate","censusresp","fiveyear","deadline"
"Alabama",1978,NA,NA,NA,"no","no",1,NA,"yes","yes",7,"no",3.83200001716614,23.8197402954102,11.2660903930664,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1979,NA,NA,0.900000095367432,"no","no",0,NA,"yes","no",0,"yes",3.8659999370575,23.1891803741455,11.4619302749634,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1980,NA,NA,1.59999942779541,"no","no",0,NA,"yes","no",1,"no",3.89400005340576,22.2393398284912,11.2994403839111,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1981,NA,NA,1.30000019073486,"no","no",0,NA,"yes","no",2,"no",3.91899991035461,21.5177001953125,11.4845895767212,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1982,NA,NA,3.5,"no","no",1,NA,"yes","no",3,"no",3.92499995231628,21.035270690918,11.6721601486206,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1983,NA,NA,-0.399999618530273,"no","no",0,NA,"yes","no",0,"yes",3.93400001525879,20.6261005401611,11.8151998519897,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1984,NA,NA,-2.60000038146973,"no","no",0,NA,"yes","no",1,"no",3.95199990272522,20.3810501098633,11.9578800201416,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1985,NA,NA,-1.59999942779541,"no","no",0,NA,"yes","no",2,"no",3.97300004959106,20.2635498046875,12.0835399627686,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1986,NA,NA,0.5,"no","no",1,NA,"yes","no",3,"no",3.99200010299683,20.2469100952148,12.1999998092651,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1987,NA,NA,-1.50000047683716,"yes","no",0,NA,"no","no",0,"yes",4.0149998664856,20.1322593688965,12.3999996185303,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1988,"no",0,-0.699999809265137,"yes","no",0,5.40000009536743,"no","no",1,"no",4.02400016784668,19.8834705352783,12.5,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1989,NA,NA,-0.300000190734863,"yes","no",0,0.699999988079071,"no","no",2,"no",4.03000020980835,19.6940307617188,12.7003402709961,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1990,NA,NA,-0.299999713897705,"yes","no",1,4.30000019073486,"no","no",3,"no",4.03999996185303,20.0940399169922,13.0660696029663,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1991,"no",-17,0.599999904632568,"yes","no",0,-0.0869565233588219,"no","yes",4,"no",4.09899997711182,18.9731006622314,12.8999996185303,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1992,"no",-132,0,"yes","no",0,0,"no","yes",5,"no",4.15399980545044,18.8013496398926,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"93_97","hard"
"Alabama",1993,"no",-126,-0.300000190734863,"no","no",0,0.899999976158142,"yes","no",0,"yes",4.21400022506714,18.5065307617188,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",1994,"no",-165,-1.19999980926514,"no","no",1,3.09999990463257,"yes","no",1,"no",4.26000022888184,18.3795509338379,13.1000003814697,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",1995,"no",-54,-0.200000286102295,"yes","no",0,0,"no","no",0,"yes",4.29699993133545,18.2746696472168,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",1996,"no",-123,-0.699999809265137,"yes","no",0,1,"no","no",1,"no",4.33099985122681,18.1801109313965,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",1997,"no",-7,-0.0999999046325684,"yes","no",0,1,"no","no",2,"no",4.36800003051758,18.0312404632568,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",1998,"no",-152,-0.5,"yes","no",1,0,"no","no",3,"no",4.40500020980835,18.1336097717285,13.1000003814697,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"03_07","hard"
"Alabama",1999,"no",-110,0.400000095367432,"no","no",0,0.699999988079071,"yes","no",0,"yes",4.42999982833862,17.7351093292236,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"03_07","hard"
"Alabama",2000,"no",-137,-0.200000286102295,"no","no",0,0.800000011920929,"yes","no",1,"no",4.45168685913086,18.5968074798584,13,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"03_07","hard"
"Alabama",2001,"no",-132,0.599999904632568,"no","no",0,0.5,"yes","no",2,"no",4.46283197402954,18.3021926879883,13.0500001907349,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"03_07","hard"
"Alabama",2002,"no",-172,0.700000286102295,"no","no",1,0.699999988079071,"yes","no",3,"no",4.46990585327148,18.0075778961182,13.1000003814697,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"03_07","hard"
"Alabama",2003,"no",-1,0,"yes","no",0,2.09999990463257,"no","no",0,"yes",4.48659801483154,18.0182189941406,13.1999998092651,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",2004,"no",-133,-0.300000190734863,"yes","no",0,2.79999995231628,"no","no",1,"no",4.50657415390015,17.615894317627,13.1999998092651,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
"Alabama",2005,"no",-57,-1.19999980926514,"yes","no",0,9.30000019073486,"no","no",2,"no",4.53729915618896,17.3979816436768,13.3000001907349,"yes","no",3,"yes",0.260449409484863,18.367000579834,62,"98_02","hard"
