"country","year","narrow","reelect","ddefterm","ddefey","gdppc","dev","nd","maj"
"Argentina",1983,FALSE,NA,NA,NA,NA,0,1,0
"Argentina",1989,FALSE,0,0.0179999992251396,0.00350000010803342,-0.0229000002145767,0,1,0
"Argentina",1995,TRUE,1,-0.0120000001043081,-0.00249999994412065,0.0386000014841557,0,1,0
"Argentina",1999,TRUE,0,-0.0130000002682209,0.00400000018998981,0.0239000003784895,0,1,0
"Argentina",2003,TRUE,0,0.0121069997549057,0.0030824369750917,-0.0348000004887581,0,1,0
"Australia",1962,TRUE,1,-0.0190379992127419,0.0125827500596642,NA,1,0,0
"Australia",1964,TRUE,1,0.001786999986507,-0.0135455429553986,0.0476000010967255,1,0,0
"Australia",1967,FALSE,0,-0.010861000046134,0.0127110937610269,0.0261000003665686,1,0,0
"Australia",1970,TRUE,1,0.0382979996502399,-0.00326684699393809,0.0394000001251698,1,0,0
"Australia",1973,TRUE,0,-0.0137940002605319,0.0132502457126975,0.0162000004202127,1,0,0
"Australia",1976,TRUE,0,-0.0200779996812344,0.00351678906008601,0.00700000021606684,1,0,0
"Australia",1978,TRUE,1,-0.00633300002664328,-0.0257172156125307,0.014299999922514,1,0,0
"Australia",1981,TRUE,1,0.00899199955165386,0.00212039798498154,0.0205000005662441,1,0,0
"Australia",1983,TRUE,0,-0.0203709993511438,0.0149665316566825,-0.00700000021606684,1,0,0
"Australia",1985,TRUE,1,0.00791199970990419,-0.0267658717930317,0.0348999984562397,1,0,0
"Australia",1988,TRUE,1,0.0139469997957349,0.0158662125468254,0.0239000003784895,1,0,0
"Australia",1990,TRUE,1,-0.000188000005437061,0.0258280411362648,0.0118000004440546,1,0,0
"Australia",1993,FALSE,NA,-0.00931499991565943,-0.0460030138492584,0.0265999995172024,1,0,0
"Australia",1996,TRUE,0,0.00772299990057945,0.000205022995942272,0.0292000006884336,1,0,0
"Australia",1999,TRUE,1,0.00287399999797344,0.0160964578390121,0.0329000018537045,1,0,0
"Australia",2002,TRUE,1,-0.00942800007760525,0.010333064943552,0.0181000009179115,1,0,0
"Austria",1962,FALSE,NA,-0.00100000004749745,0.0109999999403954,0.0177999995648861,1,0,0
"Austria",1966,TRUE,1,0,-0.00249999994412065,0.0357999987900257,1,0,0
"Austria",1970,TRUE,0,0.0120000001043081,-0.00400000018998981,0.0478999987244606,1,0,0
"Austria",1979,TRUE,1,0.00400000018998981,0.0044999998062849,0.0357000008225441,1,0,0
"Austria",1983,TRUE,0,-0.00100000004749745,0,0.0177999995648861,1,0,0
"Austria",1986,FALSE,0,-0.00700000021606684,0.0135000003501773,0.0157999992370605,1,0,0
"Austria",1990,TRUE,1,0.00700000021606684,0.0130000002682209,0.0296000000089407,1,0,0
"Austria",1994,TRUE,1,0.00100000004749745,-0.00100000004749745,0.0147000001743436,1,0,0
"Austria",1999,TRUE,0,0.00100000004749745,0.0240000002086163,0.031700000166893,1,0,0
"Belgium",1961,TRUE,0,0.0260000005364418,NA,NA,1,0,0
"Belgium",1965,TRUE,0,0.00400000018998981,-0.00350000010803342,0.0388999991118908,1,0,0
"Belgium",1968,TRUE,0,0.00100000004749745,0.0189999993890524,0.0359000004827976,1,0,0
"Belgium",1971,TRUE,1,-0.0101319998502731,0.010499999858439,0.0527000017464161,1,0,0
"Belgium",1977,TRUE,1,-0.00414799991995096,-0.0281709358096123,0.0142000000923872,1,0,0
"Belgium",1981,FALSE,0,-0.0423070006072521,-0.0101680317893624,0.0198999997228384,1,0,0
"Belgium",1985,TRUE,1,0.0120890000835061,-0.000200788999791257,0.0124000003561378,1,0,0
"Belgium",1987,TRUE,1,0.0203799996525049,0.0187909472733736,0.0199999995529652,1,0,0
"Belgium",1991,TRUE,1,-0.00761200021952391,0.00840566121041775,0.0293000005185604,1,0,0
"Belgium",1995,TRUE,1,0.00543999997898936,0.0152563564479351,0.0121999997645617,1,0,0
"Bolivia",1985,FALSE,0,NA,NA,NA,0,1,0
"Bolivia",1989,FALSE,0,-0.0102380001917481,0.0279729999601841,-0.00529999984428287,0,1,0
"Bolivia",1993,FALSE,0,-0.0213929992169142,0.000307550013530999,0.0141000002622604,0,1,0
"Bolivia",1997,FALSE,0,-0.0196570008993149,0.0176601335406303,0.0194000005722046,0,1,0
"Bolivia",2002,FALSE,0,-0.0237280000001192,-0.0318735614418983,0.00510000018402934,0,0,0
"Brazil",1989,FALSE,0,-0.0321220010519028,0.0133758056908846,NA,0,1,0
"Brazil",1994,FALSE,0,0.0421000011265278,-0.035864282399416,0.0386000014841557,0,1,0
"Brazil",1998,TRUE,1,-0.00850499980151653,NA,0.0120000001043081,0,1,0
"Bulgaria",1992,TRUE,1,-0.0149010000750422,0.0145732676610351,NA,0,1,0
"Bulgaria",2001,TRUE,0,0.00579999992623925,-0.00463336799293756,0.0278999991714954,0,1,0
"Canada",1962,TRUE,1,0.00707199983298779,-0.013984676450491,NA,1,0,1
"Canada",1965,TRUE,1,0.00812300015240908,0.0125589137896895,NA,1,0,1
"Canada",1968,TRUE,1,0.000379000004613772,-0.00373087590560317,0.0303000006824732,1,0,1
"Canada",1972,TRUE,1,-0.000540999986696988,-0.003360650036484,0.0324000008404255,1,0,1
"Canada",1974,TRUE,1,0.000990999978967011,-0.00263368408195674,0.0315000005066395,1,0,1
"Canada",1979,TRUE,0,0.00959500018507242,-0.0246351547539234,0.0252000000327826,1,0,1
"Canada",1984,FALSE,0,-0.00583400018513203,-0.0287074707448483,0.0103000001981854,1,0,1
"Canada",1988,TRUE,1,-0.01244099996984,0.0223083831369877,0.0272000003606081,1,0,1
"Canada",1993,FALSE,0,0.000701999990269542,-0.0143131380900741,-0.00499999988824129,1,0,1
"Canada",1997,TRUE,1,0.0214879997074604,0.022101366892457,0.0230999998748302,1,0,1
"Canada",2000,TRUE,1,0.00626400019973516,0.0134280826896429,0.0357000008225441,1,0,1
"Chile",1964,FALSE,0,0.000260000000707805,-0.00709043396636844,NA,0,0,1
"Chile",1970,FALSE,0,-0.0328230001032352,0.0104005811735988,0.0172000005841255,0,0,1
"Chile",1993,FALSE,1,-0.0039079999551177,0.0123057179152966,0.058899998664856,0,1,1
"Chile",1999,FALSE,0,-0.0175340007990599,-0.00946240685880184,0.0406999997794628,0,1,1
"Colombia",1974,FALSE,0,0.00438999990001321,-0.0111683802679181,0.0403000004589558,0,0,0
"Colombia",1978,FALSE,1,-0.000410000007832423,0.0130531899631023,0.025000000372529,0,0,0
"Colombia",1982,FALSE,0,-0.0205119997262955,-0.0119784697890282,0.00889999978244305,0,0,0
"Colombia",1986,FALSE,0,0.0111640002578497,-0.00528082484379411,0.0132999997586012,0,0,0
"Colombia",1990,FALSE,1,0.045219000428915,-0.00981838535517454,0.0266999993473291,0,0,0
"Colombia",1994,FALSE,1,0.000241000001551583,-0.0187119636684656,0.0186000000685453,0,0,0
"Colombia",1998,FALSE,0,-0.0117260003462434,-0.0184428840875626,0.00860000029206276,0,0,0
"Costa Rica",1970,FALSE,0,NA,NA,0.0281000006943941,0,0,0
"Costa Rica",1974,FALSE,1,0.0359750017523766,-0.00451082084327936,0.0443000011146069,0,0,0
"Costa Rica",1978,FALSE,0,0.00476700020954013,-0.0210574138909578,0.0271000005304813,0,0,0
"Costa Rica",1982,FALSE,0,0.00851000007241964,-0.00355854001827538,-0.0397999994456768,0,0,0
"Costa Rica",1986,FALSE,1,-0.0235370006412268,0.0264524202793837,0.0126000000163913,0,0,0
"Costa Rica",1990,FALSE,0,-0.00856199953705072,0.0142311295494437,0.0142000000923872,0,0,0
"Costa Rica",1994,FALSE,0,-0.0341049991548061,0.0119337253272533,0.0333000011742115,0,0,0
"Costa Rica",1998,FALSE,0,0.000376000010874122,0.0130036100745201,0.0249000005424023,0,0,0
"Costa Rica",2002,FALSE,1,-0.0128330001607537,-0.00602851016446948,0.0154999997466803,0,0,0
"Cyprus",1968,TRUE,1,NA,NA,NA,0,1,0
"Cyprus",1973,TRUE,1,-0.0238930005580187,-0.0078678959980607,NA,0,1,0
"Cyprus",1983,TRUE,1,-0.0441330000758171,0.00942767970263958,0.0518000014126301,0,1,0
"Cyprus",1988,TRUE,0,0.00740899983793497,0.00610006786882877,0.0551000013947487,0,0,0
"Cyprus",1993,TRUE,0,0.023700999096036,-0.0144046498462558,0.0357000008225441,0,0,0
"Cyprus",1998,TRUE,1,-0.0024830000475049,-0.0306518245488405,0.0337000004947186,0,0,0
"Cyprus",2003,TRUE,0,-0.0182569995522499,-0.00187187700066715,0.0329999998211861,0,0,0
"Czech Republic",1996,TRUE,1,-0.00696100015193224,0.00852465629577637,0.0310999993234873,0,1,0
"Czech Republic",2002,TRUE,0,0.00205500004813075,-0.00945904105901718,0.0240000002086163,0,1,0
"Denmark",1960,FALSE,1,NA,NA,NA,1,0,0
"Denmark",1964,TRUE,1,0.00285500008612871,0.00319264992140234,0.0405000001192093,1,0,0
"Denmark",1966,TRUE,1,0.00202300003729761,0.00359299988485873,0.0280000008642673,1,0,0
"Denmark",1968,TRUE,0,0.00343200005590916,-0.0056658498942852,0.0296000000089407,1,0,0
"Denmark",1971,TRUE,0,0.000921000028029084,-0.000713900022674352,0.0296000000089407,1,0,0
"Denmark",1973,FALSE,NA,0.00827500037848949,0.00397582817822695,0.0294000003486872,1,0,0
"Denmark",1975,TRUE,0,-0.0270300004631281,-0.00529039883986115,-0.0192000009119511,1,0,0
"Denmark",1977,TRUE,1,-0.00822899956256151,-0.031973734498024,0.0344999991357327,1,0,0
"Denmark",1979,TRUE,1,-0.00597799988463521,0.00385730899870396,0.0219999998807907,1,0,0
"Denmark",1984,TRUE,1,0.0273090004920959,-0.0303367432206869,0.0267999991774559,1,0,0
"Denmark",1987,TRUE,1,-0.0045690000988543,0.0686201378703117,0.0241999998688698,1,0,0
"Denmark",1990,TRUE,1,-0.0158339999616146,-0.0242287125438452,0.00460000010207295,1,0,0
"Denmark",1998,TRUE,1,0.00490099983289838,0.0277733374387026,0.0220999997109175,1,0,0
"Dominican Rep",1978,FALSE,0,NA,NA,NA,0,1,0
"Dominican Rep",1982,FALSE,1,-0.00975299999117851,0.00391735788434744,0.0148000000044703,0,1,0
"Dominican Rep",1986,FALSE,0,0.0194439999759197,0.0172652956098318,0,0,1,0
"Dominican Rep",1990,TRUE,1,0.00270100007764995,-0.0014902469702065,0.0082999998703599,0,1,0
"Dominican Rep",1994,TRUE,1,-0.00738500012084842,0.00954639445990324,0.02280000038445,0,1,0
"Dominican Rep",1996,FALSE,0,-0.00765200005844235,-0.0150887500494719,0.0421999990940094,0,0,0
"Dominican Rep",2000,FALSE,0,0.0150340003892779,-0.004041429143399,0.0588000006973743,0,0,0
