"household","year","migration","price","rain","land"
"270",2000,NA,NA,5.54953527450562,0.25
"270",2001,0,NA,0.173027604818344,0.25
"270",2002,0,-0.0106568336486816,0.0830610394477844,0.25
"270",2003,0,-0.036959171295166,0.113541692495346,0.25
"270",2004,1,0.0915369987487793,0.0705427303910255,0.25
"270",2005,0,0.19753360748291,-0.043642558157444,0.25
"270",2006,0,0.174950122833252,0.0945131182670593,0.25
"354",2000,NA,NA,5.68118906021118,0
"354",2001,0,NA,0.149184018373489,0
"354",2002,1,-0.0056157112121582,0.1905637383461,0
"354",2003,0,-0.00615310668945312,0.0960593968629837,0
"354",2004,0,0.0294122695922852,0.091780848801136,0
"354",2005,0,0.252841472625732,-0.0579572208225727,0
"354",2006,0,0.194757461547852,0.0568601712584496,0
"355",2000,NA,NA,5.68118906021118,0
"355",2001,0,NA,0.149184018373489,0
"355",2002,0,-0.0056157112121582,0.1905637383461,0
"355",2003,1,-0.00615310668945312,0.0960593968629837,0
"355",2004,0,0.0294122695922852,0.091780848801136,0
"355",2005,0,0.252841472625732,-0.0579572208225727,0
"355",2006,0,0.194757461547852,0.0568601712584496,0
"493",2000,NA,NA,5.54953527450562,0
"493",2001,0,NA,0.173027604818344,0
"493",2002,0,-0.0106568336486816,0.0830610394477844,0
"493",2003,0,-0.036959171295166,0.113541692495346,0
"493",2004,1,0.0915369987487793,0.0705427303910255,0
"493",2005,0,0.19753360748291,-0.043642558157444,0
"493",2006,0,0.174950122833252,0.0945131182670593,0
"540",2000,NA,NA,5.58025789260864,0
"540",2001,0,NA,0.132993772625923,0
"540",2002,0,-0.0056157112121582,0.197876304388046,0
"540",2003,0,-0.00615310668945312,0.0831828415393829,0
"540",2004,1,0.0294122695922852,0.111995734274387,0
"540",2005,0,0.252841472625732,-0.064609669148922,0
"540",2006,0,0.194757461547852,0.040870875120163,0
"564",2000,NA,NA,5.58025789260864,0
"564",2001,0,NA,0.132993772625923,0
"564",2002,0,-0.0056157112121582,0.197876304388046,0
"564",2003,0,-0.00615310668945312,0.0831828415393829,0
"564",2004,1,0.0294122695922852,0.111995734274387,0
